lag_time,msd_parallel,msd_perp,lambda_ratio
0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
1.000000e-01,1.156363e-03,1.579523e-04,7.320962e+00
2.000000e-01,4.551955e-03,6.855953e-04,6.639420e+00
3.000000e-01,9.417620e-03,1.752105e-03,5.375031e+00
4.000000e-01,1.457742e-02,3.484077e-03,4.184012e+00
5.000000e-01,1.933909e-02,5.892113e-03,3.282199e+00
6.000000e-01,2.370950e-02,8.877987e-03,2.670595e+00
7.000000e-01,2.781537e-02,1.221595e-02,2.276971e+00
8.000000e-01,3.169825e-02,1.563854e-02,2.026931e+00
9.000000e-01,3.536290e-02,1.901181e-02,1.860049e+00
1.000000e+00,3.884701e-02,2.235409e-02,1.737803e+00
1.100000e+00,4.212771e-02,2.571464e-02,1.638277e+00
1.200000e+00,4.509038e-02,2.909145e-02,1.549953e+00
1.300000e+00,4.785598e-02,3.251483e-02,1.471820e+00
1.400000e+00,5.066035e-02,3.602751e-02,1.406157e+00
1.500000e+00,5.367461e-02,3.961975e-02,1.354744e+00
1.600000e+00,5.696115e-02,4.327555e-02,1.316243e+00
1.700000e+00,6.056970e-02,4.701170e-02,1.288396e+00
1.800000e+00,6.456752e-02,5.079749e-02,1.271077e+00
1.900000e+00,6.885592e-02,5.460244e-02,1.261041e+00
2.000000e+00,7.325172e-02,5.847531e-02,1.252695e+00
2.100000e+00,7.765953e-02,6.245465e-02,1.243455e+00
2.200000e+00,8.195049e-02,6.652218e-02,1.231927e+00
2.300000e+00,8.604999e-02,7.065993e-02,1.217804e+00
2.400000e+00,9.007330e-02,7.482557e-02,1.203777e+00
2.500000e+00,9.413945e-02,7.892639e-02,1.192750e+00
2.600000e+00,9.828107e-02,8.293748e-02,1.185002e+00
2.700000e+00,1.024655e-01,8.690823e-02,1.179008e+00
2.800000e+00,1.066880e-01,9.094567e-02,1.173096e+00
2.900000e+00,1.109231e-01,9.512097e-02,1.166127e+00
3.000000e+00,1.150688e-01,9.933701e-02,1.158368e+00
3.100000e+00,1.189552e-01,1.034153e-01,1.150266e+00
3.200000e+00,1.225333e-01,1.072690e-01,1.142300e+00
3.300000e+00,1.259600e-01,1.110282e-01,1.134487e+00
3.400000e+00,1.293286e-01,1.148682e-01,1.125886e+00
3.500000e+00,1.325619e-01,1.188130e-01,1.115719e+00
3.600000e+00,1.355855e-01,1.226800e-01,1.105196e+00
3.700000e+00,1.384879e-01,1.263204e-01,1.096323e+00
3.800000e+00,1.414921e-01,1.297687e-01,1.090341e+00
3.900000e+00,1.447478e-01,1.331947e-01,1.086738e+00
4.000000e+00,1.482745e-01,1.367205e-01,1.084508e+00
4.100000e+00,1.520552e-01,1.402620e-01,1.084080e+00
4.200000e+00,1.560766e-01,1.437622e-01,1.085658e+00
4.300000e+00,1.602488e-01,1.472645e-01,1.088170e+00
4.400000e+00,1.644783e-01,1.508079e-01,1.090647e+00
4.500000e+00,1.687036e-01,1.543948e-01,1.092677e+00
4.600000e+00,1.729096e-01,1.580383e-01,1.094099e+00
4.700000e+00,1.770940e-01,1.617807e-01,1.094655e+00
4.800000e+00,1.812258e-01,1.655953e-01,1.094389e+00
4.900000e+00,1.851876e-01,1.693806e-01,1.093323e+00
5.000000e+00,1.890350e-01,1.731092e-01,1.091999e+00
5.100000e+00,1.929596e-01,1.768622e-01,1.091016e+00
5.200000e+00,1.971077e-01,1.807046e-01,1.090773e+00
5.300000e+00,2.014671e-01,1.846092e-01,1.091317e+00
5.400000e+00,2.058936e-01,1.884632e-01,1.092487e+00
5.500000e+00,2.101259e-01,1.921350e-01,1.093636e+00
5.600000e+00,2.140529e-01,1.956221e-01,1.094216e+00
5.700000e+00,2.176858e-01,1.989809e-01,1.094004e+00
5.800000e+00,2.210512e-01,2.022519e-01,1.092950e+00
5.900000e+00,2.242997e-01,2.054890e-01,1.091541e+00
6.000000e+00,2.275553e-01,2.087873e-01,1.089891e+00
6.100000e+00,2.308271e-01,2.122077e-01,1.087742e+00
6.200000e+00,2.341191e-01,2.156998e-01,1.085393e+00
6.300000e+00,2.374299e-01,2.191851e-01,1.083239e+00
6.400000e+00,2.408319e-01,2.227459e-01,1.081195e+00
6.500000e+00,2.444704e-01,2.265099e-01,1.079293e+00
6.600000e+00,2.482976e-01,2.304087e-01,1.077640e+00
6.700000e+00,2.520395e-01,2.342284e-01,1.076042e+00
6.800000e+00,2.554431e-01,2.378077e-01,1.074158e+00
6.900000e+00,2.585905e-01,2.411542e-01,1.072304e+00
7.000000e+00,2.617008e-01,2.443777e-01,1.070887e+00
7.100000e+00,2.648566e-01,2.475368e-01,1.069969e+00
7.200000e+00,2.680793e-01,2.506434e-01,1.069564e+00
7.300000e+00,2.714121e-01,2.538584e-01,1.069148e+00
7.400000e+00,2.749031e-01,2.573205e-01,1.068329e+00
7.500000e+00,2.785493e-01,2.609820e-01,1.067312e+00
7.600000e+00,2.823099e-01,2.647307e-01,1.066404e+00
7.700000e+00,2.861642e-01,2.684753e-01,1.065886e+00
7.800000e+00,2.900538e-01,2.721773e-01,1.065679e+00
7.900000e+00,2.939268e-01,2.758892e-01,1.065380e+00
8.000000e+00,2.978662e-01,2.797652e-01,1.064700e+00
8.100000e+00,3.019051e-01,2.837845e-01,1.063853e+00
8.200000e+00,3.058627e-01,2.877208e-01,1.063054e+00
8.300000e+00,3.095825e-01,2.913742e-01,1.062491e+00
8.400000e+00,3.131689e-01,2.946593e-01,1.062817e+00
8.500000e+00,3.167761e-01,2.976442e-01,1.064278e+00
8.600000e+00,3.203396e-01,3.005331e-01,1.065905e+00
8.700000e+00,3.237818e-01,3.035136e-01,1.066779e+00
8.800000e+00,3.270932e-01,3.067526e-01,1.066309e+00
8.900000e+00,3.303471e-01,3.102665e-01,1.064720e+00
9.000000e+00,3.336785e-01,3.138965e-01,1.063021e+00
9.100000e+00,3.370647e-01,3.175389e-01,1.061491e+00
9.200000e+00,3.404604e-01,3.211190e-01,1.060231e+00
9.300000e+00,3.438538e-01,3.245563e-01,1.059458e+00
9.400000e+00,3.472345e-01,3.278677e-01,1.059069e+00
9.500000e+00,3.505660e-01,3.310960e-01,1.058805e+00
9.600000e+00,3.538318e-01,3.342409e-01,1.058613e+00
9.700000e+00,3.570929e-01,3.372897e-01,1.058713e+00
9.800000e+00,3.604100e-01,3.403268e-01,1.059012e+00
9.900000e+00,3.638482e-01,3.434681e-01,1.059336e+00
