lag_time,autocorrelation_q_normalized
0.000000e+00,1.000000e+00
1.000000e-01,8.623653e-01
2.000000e-01,6.094399e-01
3.000000e-01,4.088374e-01
4.000000e-01,2.881259e-01
5.000000e-01,2.148308e-01
6.000000e-01,1.707086e-01
7.000000e-01,1.339881e-01
8.000000e-01,1.092970e-01
9.000000e-01,9.434932e-02
1.000000e+00,6.820338e-02
1.100000e+00,4.357356e-02
1.200000e+00,2.321414e-02
1.300000e+00,1.162963e-02
1.400000e+00,9.077602e-03
1.500000e+00,1.497601e-02
1.600000e+00,3.268808e-02
1.700000e+00,4.247354e-02
1.800000e+00,4.055953e-02
1.900000e+00,3.049905e-02
2.000000e+00,2.426373e-02
2.100000e+00,1.688094e-02
2.200000e+00,1.687574e-02
2.300000e+00,2.205858e-02
2.400000e+00,3.587518e-02
2.500000e+00,4.295962e-02
2.600000e+00,2.701328e-02
2.700000e+00,1.596241e-02
2.800000e+00,1.723811e-02
2.900000e+00,1.397320e-02
3.000000e+00,1.163172e-02
3.100000e+00,1.841733e-02
3.200000e+00,2.315216e-02
3.300000e+00,2.119702e-02
3.400000e+00,4.774356e-03
3.500000e+00,-2.130097e-03
3.600000e+00,-6.044452e-03
3.700000e+00,-2.192947e-03
3.800000e+00,7.662805e-03
3.900000e+00,7.382814e-03
4.000000e+00,1.429023e-02
4.100000e+00,7.584641e-03
4.200000e+00,2.595113e-04
4.300000e+00,2.387747e-03
4.400000e+00,9.013237e-03
4.500000e+00,1.009198e-02
4.600000e+00,1.200453e-02
4.700000e+00,5.323207e-03
4.800000e+00,-1.033804e-03
4.900000e+00,4.787778e-03
5.000000e+00,1.215401e-03
5.100000e+00,7.790733e-03
5.200000e+00,7.709818e-03
5.300000e+00,7.286622e-03
5.400000e+00,6.338306e-03
5.500000e+00,-3.308811e-03
5.600000e+00,-1.190220e-03
5.700000e+00,-5.669907e-03
5.800000e+00,1.963784e-03
5.900000e+00,2.492755e-02
6.000000e+00,3.240952e-02
6.100000e+00,4.242012e-02
6.200000e+00,1.988133e-02
6.300000e+00,1.214198e-02
6.400000e+00,1.638631e-02
6.500000e+00,2.459614e-02
6.600000e+00,2.645929e-02
6.700000e+00,2.002199e-02
6.800000e+00,1.707279e-02
6.900000e+00,2.695385e-02
7.000000e+00,2.770422e-02
7.100000e+00,1.292803e-02
7.200000e+00,1.136814e-02
7.300000e+00,1.532580e-02
7.400000e+00,1.551942e-02
7.500000e+00,9.806220e-03
7.600000e+00,1.412750e-02
7.700000e+00,1.122846e-02
7.800000e+00,1.096112e-02
7.900000e+00,1.852530e-02
8.000000e+00,1.700986e-02
8.100000e+00,1.736093e-02
8.200000e+00,1.730404e-02
8.300000e+00,7.659495e-03
8.400000e+00,-1.013027e-02
8.500000e+00,-7.393223e-03
8.600000e+00,-7.821869e-03
8.700000e+00,-7.140428e-03
8.800000e+00,-1.702077e-02
8.900000e+00,-2.117523e-02
9.000000e+00,-8.582003e-03
9.100000e+00,-1.832405e-04
9.200000e+00,-3.173603e-03
9.300000e+00,-6.244678e-03
9.400000e+00,-8.409227e-03
9.500000e+00,2.956661e-03
9.600000e+00,4.168098e-03
9.700000e+00,-8.564329e-03
9.800000e+00,-1.255932e-02
9.900000e+00,-7.195257e-03
